1985,1,1,2246
1985,1,2,2232
1985,1,3,2240
1985,1,4,2253
1985,1,5,2249
1985,1,6,2247
1985,1,7,2246
1985,1,8,2231
1985,1,9,2245
1985,1,10,2251
1985,1,11,2229
1985,1,12,2213
1985,1,13,2194
1985,1,14,2199
1985,1,15,2208
1985,1,16,2192
1985,1,17,2203
1985,1,18,2218
1985,1,19,2237
1985,1,20,2226
1985,1,21,2189
1985,1,22,2163
1985,1,23,2139
1985,1,24,2140
1985,1,25,2169
1985,1,26,2166
1985,1,27,2148
1985,1,28,2147
1985,1,29,2149
1985,1,30,2153
1985,1,31,2156
1985,2,1,2135
1985,2,2,2100
1985,2,3,2120
1985,2,4,2141
1985,2,5,2156
1985,2,6,2180
1985,2,7,2217
1985,2,8,2226
1985,2,9,2205
1985,2,10,2184
1985,2,11,2176
1985,2,12,2171
1985,2,13,2146
1985,2,14,2155
1985,2,15,2192
1985,2,16,2212
1985,2,17,2256
1985,2,18,2379
1985,2,19,2458
1985,2,20,2420
1985,2,21,2366
1985,2,22,2343
1985,2,23,2323
1985,2,24,2279
1985,2,25,2276
1985,2,26,2290
1985,2,27,2263
1985,2,28,2218
1985,3,1,2198
1985,3,2,2189
1985,3,3,2159
1985,3,4,2161
1985,3,5,2178
1985,3,6,2218
1985,3,7,2214
1985,3,8,2207
1985,3,9,2216
1985,3,10,2210
1985,3,11,2231
1985,3,12,2287
1985,3,13,2312
1985,3,14,2308
1985,3,15,2308
1985,3,16,2288
1985,3,17,2266
1985,3,18,2227
1985,3,19,2239
1985,3,20,2248
1985,3,21,2242
1985,3,22,2276
1985,3,23,2270
1985,3,24,2261
1985,3,25,2258
1985,3,26,2263
1985,3,27,2279
1985,3,28,2258
1985,3,29,2228
1985,3,30,2204
1985,3,31,2195
1985,4,1,2201
1985,4,2,2218
1985,4,3,2233
1985,4,4,2247
1985,4,5,2270
1985,4,6,2272
1985,4,7,2250
1985,4,8,2243
1985,4,9,2247
1985,4,10,2249
1985,4,11,2241
1985,4,12,2226
1985,4,13,2230
1985,4,14,2232
1985,4,15,2230
1985,4,16,2225
1985,4,17,2220
1985,4,18,2203
1985,4,19,2229
1985,4,20,2256
1985,4,21,2287
1985,4,22,2319
1985,4,23,2356
